Rank,Artist Name,WF Score,Country,Type,Genre Tags,Primary Language,English Ratio,Last.fm Listeners,Last.fm Plays,Size Category,Estimated Tracks,Albums,EPs,Singles,Latest Release Date,Active Since,Score: Popularity,Score: English,Score: Tracks,Score: Active,Score: Genre,Score: Country,MusicBrainz ID,Last.fm URL,Status
139,Wintersun,78,Finland,Group,"melodic death metal, metal, finnish, death metal, symphonic metal, folk metal, finland, melodic metal",eng,100%,303585,13298544,big,172,16,2,2,2024-11-15,2003,8,20,15,12,15,8,c054ea6b-c585-41eb-ae7e-4b0ca43308ff,https://www.last.fm/music/Wintersun,
140,Cosmo Jones Beat Machine,77,Finland,Group,"tundra boogie, blues",eng,100%,2673,26610,small,61,6,0,1,2021-05-07,1998,15,20,15,4,15,8,7da16b7c-027e-46b1-aea6-04aeae126dcf,https://www.last.fm/music/Cosmo+Jones+Beat+Machine,
141,Edge of Haze,77,Finland,Group,"progressive rock, progressive metal",eng,100%,1582,23716,small,52,4,1,7,2022-11-01,2010,15,20,15,4,15,8,2a20f22b-8ef3-415a-95ac-229fec2702af,https://www.last.fm/music/Edge+Of+Haze,
142,Freckleface,77,Finland,Person,"dream pop, indie pop, indie rock, psychedelic pop",eng,100%,2414,7635,small,15,1,1,0,2022-06-11,,15,20,15,4,15,8,3a5a19c9-8122-40bb-bd0f-7bee81d725f9,https://www.last.fm/music/Freckleface,
143,Garden of Worm,77,Finland,Group,"metal, doom metal, psychedelic, psychedelic rock",eng,100%,1915,26385,small,40,3,2,0,2022-07-18,2003,15,20,15,4,15,8,55f9efed-ac98-4c42-bb70-6aa08fe667c0,https://www.last.fm/music/Garden+of+Worm,
144,Greenrose Faire,77,Finland,Group,folk rock,eng,100%,1012,23552,small,55,5,1,0,2021-06-04,2007,15,20,15,4,15,8,258ad750-4954-45fa-9e91-9e8404097682,https://www.last.fm/music/Greenrose+Faire,
145,LAHO,77,Finland,Group,"electronic, industrial, industrial rock, industrial metal, synthwave",eng,100%,4730,65933,small,18,1,1,3,2021-12-12,2006,15,20,15,4,15,8,1e713689-1e8d-445c-8ecb-7756812cb9ec,https://www.last.fm/music/LAHO,
146,Pyhimys,77,Finland,Person,"pop rap, hip hop",fin,9%,49463,5777028,wf_sweet_spot,156,15,1,1,2021-07-23,1981,25,10,15,4,15,8,d6241926-6d71-443b-a28e-4fa1e11ab59b,https://www.last.fm/music/Pyhimys,
147,Sadistik Forest,77,Finland,Group,"post hardcore, progressive metal, sludge metal, thrash metal, metal, black metal, deathcore, doom",eng,100%,2078,33019,small,40,3,2,0,2021-05-28,2007,15,20,15,4,15,8,20afa94c-adcb-4aff-beae-e86cf5f57b90,https://www.last.fm/music/Sadistik+Forest,
148,Tuomari Nurmio,77,Finland,Person,"finnish, experimental rock, rock",fin,12%,44883,1171945,wf_sweet_spot,250,25,0,0,2022-09-02,1950,25,10,15,4,15,8,1fb517fd-25e4-4f71-9967-6e2674c781ed,https://www.last.fm/music/Tuomari+Nurmio,
